company_name,manufacturing_cost,marketing_cost,shipping_cost,profit
Company_0001,171958,116884,10704,84392
Company_0002,721155,135917,116279,203798
Company_0003,181932,296429,123516,99531
Company_0004,415838,183880,119044,284925
Company_0005,309178,291342,34165,149912
Company_0006,694167,25254,72203,242618
Company_0007,160268,54238,9114,31791
Company_0008,782180,11252,41321,205079
Company_0009,104886,91317,78297,29717
Company_0010,187337,88587,101652,95011
Company_0011,571430,16949,104304,269595
Company_0012,137498,248897,22772,88078
Company_0013,949159,214625,108754,142140
Company_0014,962756,148013,8712,122344
Company_0015,225203,35934,137439,86250
Company_0016,241335,266434,120142,92935
Company_0017,328167,260875,96736,73382
Company_0018,91090,80390,56924,74657
Company_0019,379365,193401,8726,138137
Company_0020,114820,263490,94152,88243
Company_0021,837201,53088,32723,341537
Company_0022,371879,257940,131969,102720
Company_0023,768315,226464,105494,425558
Company_0024,377069,228441,145180,145776
Company_0025,826997,292107,40643,425071
Company_0026,249041,135911,108896,138713
Company_0027,841743,233777,144999,424755
Company_0028,153355,286532,98680,212843
Company_0029,285796,15569,101546,75151
Company_0030,264176,79836,84973,166592
Company_0031,234779,114573,68449,90597
Company_0032,397449,268090,114834,168290
Company_0033,471909,153087,30537,132493
Company_0034,308795,55002,82576,117138
Company_0035,536232,257666,112522,132558
Company_0036,967040,147326,27612,303895
Company_0037,550186,165286,11471,190830
Company_0038,206730,221791,36348,152742
Company_0039,920910,212846,6177,399084
Company_0040,434681,147162,140832,167756
Company_0041,199503,152709,37779,74371
Company_0042,704811,163487,26636,159119
Company_0043,577035,34071,86889,110553
Company_0044,698143,68243,58551,96760
Company_0045,502366,182312,147628,168737
Company_0046,115725,267218,147635,96074
Company_0047,179981,224879,51819,178070
Company_0048,134654,38732,78770,67404
Company_0049,955778,131465,83714,239089
Company_0050,641723,67108,29596,202432
Company_0051,369030,121195,69106,79290
Company_0052,378947,46668,64182,114227
Company_0053,605839,295205,92163,285914
Company_0054,952648,49749,44310,258190
Company_0055,323538,140560,61088,115821
Company_0056,381236,157979,133803,267965
Company_0057,578178,159849,144978,321497
Company_0058,615894,234301,41914,256054
Company_0059,539492,61745,115350,194061
Company_0060,306840,101865,50379,131388
Company_0061,523254,222890,51413,127923
Company_0062,399457,33624,142084,125697
Company_0063,715987,33321,12151,85159
Company_0064,320936,294718,62716,164615
Company_0065,289931,184293,98747,150638
Company_0066,289629,269127,149539,119223
Company_0067,255041,196717,126999,225257
Company_0068,748361,193868,119793,395960
Company_0069,781912,145504,113177,329496
Company_0070,467113,105257,17289,153320
Company_0071,118148,74291,91365,102450
Company_0072,827089,220176,119014,162341
Company_0073,698531,200471,77588,329260
Company_0074,301995,228803,68646,82391
Company_0075,956606,121317,8654,367549
Company_0076,728843,149789,23743,164891
Company_0077,960790,83686,53368,398656
Company_0078,622843,77661,142513,323054
Company_0079,306508,54247,124735,70220
Company_0080,853591,255121,124891,294587
Company_0081,946942,157820,112971,480147
Company_0082,156530,276765,17149,110368
Company_0083,654365,156106,105102,328749
Company_0084,872352,268930,64189,333456
Company_0085,510337,146194,76031,155741
Company_0086,774839,290174,47668,206663
Company_0087,855889,48638,149745,169702
Company_0088,509773,128033,93204,240165
Company_0089,258261,115977,145507,112245
Company_0090,814469,98869,42384,242163
Company_0091,391097,115186,86929,146937
Company_0092,365139,176926,132959,184405
Company_0093,221829,56271,81153,129213
Company_0094,321836,151339,80388,218226
Company_0095,488974,231897,36401,168322
Company_0096,252283,11062,124503,135070
Company_0097,246769,257736,132834,209912
Company_0098,611353,60448,39084,193402
Company_0099,273165,105462,115641,191189
Company_0100,673587,255885,110111,166481
Company_0101,585822,57915,143299,104502
Company_0102,537879,276776,41041,304789
Company_0103,614685,114592,93920,190771
Company_0104,832038,144668,70681,370869
Company_0105,403531,118099,86571,223773
Company_0106,313160,17561,132556,55008
Company_0107,629879,92152,31160,274944
Company_0108,270884,135036,22633,100493
Company_0109,73247,36734,22014,33411
