Age,Purchased
58,1
35,1
26,0
52,1
45,1
23,0
50,1
53,1
59,1
44,1
55,1
18,0
28,0
39,1
31,0
39,1
42,1
40,1
20,0
52,1
42,1
36,0
57,1
41,1
22,1
32,0
23,0
24,0
47,1
41,1
40,1
35,0
59,1
58,1
33,1
42,1
58,1
32,0
21,0
20,0
43,1
31,0
54,1
38,1
49,1
59,1
34,1
53,1
55,1
55,1
32,0
26,0
23,0
25,0
28,0
45,1
42,1
47,1
53,1
18,0
25,0
52,1
59,1
36,1
47,1
34,0
29,0
24,0
37,0
50,1
27,0
28,0
51,0
56,1
19,0
41,1
37,1
33,0
23,0
49,1
52,1
26,0
53,1
51,1
45,0
52,1
30,0
43,0
59,1
51,1
33,1
39,1
53,1
32,1
58,1
22,0
39,1
33,1
49,1
26,0
54,1
33,0
44,1
24,0
40,1
47,1
21,0
59,1
43,1
24,0
30,0
26,0
35,0
22,0
53,1
59,0
18,0
33,1
49,1
43,0
28,0
42,1
47,1
53,1
49,1
36,1
21,0
52,1
38,1
55,1
51,1
50,1
29,1
22,0
33,1
54,1
56,1
23,0
55,1
38,0
31,0
38,1
43,1
59,1
38,0
22,1
57,0
24,1
31,0
26,0
22,0
41,1
46,1
37,0
59,1
60,1
37,0
24,0
26,0
24,0
27,0
56,1
39,1
58,1
50,1
21,0
45,1
20,1
26,0
34,1
46,1
45,1
25,1
27,0
41,1
27,0
20,0
20,0
31,0
60,1
53,1
44,0
27,0
33,0
29,0
19,0
39,0
44,1
33,1
24,0
20,0
32,1
47,1
32,1
60,1
39,1
22,0
35,1
50,1
52,1
19,0
34,1
34,1
56,1
38,1
50,1
54,1
20,0
18,0
52,1
60,1
45,1
60,0
57,1
25,0
37,0
60,1
43,1
53,1
44,1
42,1
29,0
37,1
18,0
31,1
55,1
38,0
46,1
50,1
28,0
36,0
58,1
23,0
33,0
32,0
27,1
33,0
57,1
22,0
58,1
42,1
33,1
18,0
24,0
32,1
51,1
53,1
25,0
47,1
53,1
46,1
50,1
53,1
28,0
48,1
33,0
35,0
51,1
33,1
22,0
33,1
38,0
23,0
32,1
27,0
22,0
39,0
44,1
44,1
55,0
19,0
54,1
18,0
37,0
44,1
52,1
32,0
35,1
19,0
60,1
43,1
47,0
57,1
43,1
60,1
59,1
47,1
34,1
31,0
39,0
42,1
44,1
23,0
52,1
40,1
22,0
59,1
19,0
30,0
57,1
